pergunta, Nunca observei, Observo raramente, Observo ocasionalmente, frequência
build, 11, 20, 26, 18
mismanaging, 5, 17, 26, 27
rework, 6, 10, 34, 25
unnecessarily, 9, 30, 27, 9
extraneous, 2, 14, 22, 37
psychological, 9, 21, 20, 25
waiting, 13, 23, 26, 13
knowledge, 8, 15, 28, 24
ineffective, 2, 21, 24, 28
